time,H2S,NH3,CO2,start at 1:30pm
0,188.1,0.6,218,
1,147.37,1.57,158,
2,79.22,0.77,158,
3,,,,
4,41.96,0.13,158,
5,36.93,0.11,158,
6,,,,
7,,,,
8,,,,
