time,H2S,NH3,CO2
0,16.11,0.02,1986
1,7.49,0.01,158
2,10.43,0.01,158
3,13.97,0.02,158
4,20.79,0.02,158
5,21.27,0.03,172
6,,,
7,,,
8,,,
18,19369.39,4.21,158
