time,H2S,NH3,CO2,start at 6:22pm
0,58.53,0.09,158,
1,23.81,0.05,158,
2,37.73,0.07,158,
3,36.93,0.06,158,
4,28.45,0.05,158,
5,22.76,0.04,158,
6,21.27,0.04,158,
7,29.09,0.05,158,
8,195.22,0.19,158,
