time,H2S,NH3,CO2,start at 2:48pm
0,314.08,0.15,158,
1,161.95,0.12,158,
2,171.33,0.12,158,
3,119.46,0.1,158,
4,158.93,0.12,158,
5,94.63,0.09,158,
6,67.48,0.07,158,
7,57.34,0.06,158,
8,57.34,0.07,158,
9,79.22,0.09,158,
